No.,Player,Pos,Height,Wt,Birth Date,Age,Country,Exp,College,Player-additional
33,Ryan Anderson,PF,6.75,240,5/6/1988,21,us,1,California,anderry01
22,Matt Barnes,SF,6.583333333,226,3/9/1980,29,us,6,UCLA,barnema02
30,Brandon Bass,PF,6.666666667,250,4/30/1985,24,us,4,LSU,bassbr01
15,Vince Carter,SG,6.5,220,1/26/1977,32,us,11,UNC,cartevi01
13,Marcin Gortat,C,6.916666667,240,2/17/1984,25,pl,2,,gortama01
12,Dwight Howard,C,6.833333333,265,12/8/1985,24,us,5,,howardw01
8,Anthony Johnson,PG,6.25,190,10/2/1974,35,us,12,College of Charleston,johnsan02
9,Rashard Lewis,PF,6.833333333,215,8/8/1979,30,us,11,,lewisra02
14,Jameer Nelson,PG,6,190,2/9/1982,27,us,5,Saint Joseph's,nelsoja01
20,Mickael Pietrus,SF,6.5,215,2/7/1982,27,gp,6,,pietrmi01
7,J.J. Redick,SG,6.25,200,6/24/1984,25,us,3,Duke,redicjj01
44,Jason Williams,PG,6.083333333,190,11/18/1975,34,us,10,Marshall Florida,willija02
