No.,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Player-additional
4,Arron Afflalo,SF,5-Jun,210,October 15 1985,us,5,UCLA,afflaar01
19,Gustavo Ayon,C,10-Jun,250,April 1 1985,mx,1,,ayongu01
11,Glen Davis,PF,9-Jun,289,January 1 1986,us,5,LSU,davisgl01
21,Maurice Harkless,SF,7-Jun,220,May 11 1993,us,0,St. John's,harklma01
3,Al Harrington,C,9-Jun,230,February 17 1980,us,14,,harrial01
12,Tobias Harris,PF,8-Jun,226,July 15 1992,us,1,Tennessee,harrito02
20,DeQuan Jones,SF,8-Jun,221,June 20 1990,us,0,Miami (FL),jonesde01
1,Doron Lamb,SG,4-Jun,210,November 6 1991,us,0,Kentucky,lambdo01
17,Josh McRoberts,PF,10-Jun,240,February 28 1987,us,5,Duke,mcrobjo01
55,E'Twaun Moore,SG,3-Jun,191,February 25 1989,us,1,Purdue,mooreet01
14,Jameer Nelson,PG,Jun-00,190,February 9 1982,us,8,Saint Joseph's,nelsoja01
44,Andrew Nicholson,PF,9-Jun,250,December 8 1989,ca,0,St. Bonaventure,nichoan01
2,Kyle O'Quinn,C,9-Jun,250,March 26 1990,us,0,Norfolk State,oquinky01
7,J.J. Redick,SG,3-Jun,200,June 24 1984,us,6,Duke,redicjj01
10,Ish Smith,PG,Jun-00,175,July 5 1988,us,2,Wake Forest,smithis01
15,Hedo Turkoglu,SF,10-Jun,220,March 19 1979,tr,12,,turkohe01
19,Beno Udrih,PG,3-Jun,205,July 5 1982,si,8,,udrihbe01
9,Nikola Vucevic,C,10-Jun,260,October 24 1990,ch,1,USC,vucevni01
