ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
151,Marcus Morris Sr.,LAC,33,65,35,30,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.5,1,1.3,78.2,0.4,3.5,4,1.8,0.9,0.6,0.3,2.1,20.6,2,0,-0.2
152,Kyle Lowry,MIA,37,55,30,25,31.2,11.2,3.6,8.8,40.4,1.9,5.6,34.5,2.1,2.5,85.9,0.8,3.3,4.1,5.1,1.9,1,0.4,2.6,26.1,2,1,1
153,Corey Kispert,WAS,24,74,31,43,28.3,11.1,3.9,7.9,49.7,2.2,5.2,42.4,1,1.2,85.2,0.4,2.4,2.8,1.2,0.7,0.4,0.1,1.3,17.1,0,0,-1.7
154,Jeremy Sochan,SAS,19,56,15,41,26,11,4.5,9.9,45.3,0.6,2.4,24.6,1.4,2.1,69.8,1.7,3.6,5.3,2.5,1.7,0.8,0.4,2.5,22.9,2,0,-4.2
155,Mason Plumlee,LAC,33,79,28,51,26,10.8,4.2,6.1,68,0,0,0,2.5,4,63.6,2.9,6,8.9,3.1,1.5,0.6,0.6,2.7,28.2,23,0,-3.4
156,Jaylen Nowell,MIN,23,65,34,31,19.3,10.8,4.3,9.6,44.8,1,3.6,28.9,1.2,1.5,77.8,0.6,2.1,2.6,2,1,0.6,0.1,1.6,18.2,0,0,-0.1
157,Kentavious Caldwell-Pope,DEN,30,76,51,25,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.1,1.5,0.5,1.9,22.4,0,0,6.5
158,Ivica Zubac,LAC,26,76,43,33,28.5,10.8,4.3,6.8,63.4,0,0,0,2.2,3.1,69.7,3.1,6.8,9.9,1,1.5,0.4,1.3,2.9,27.7,27,0,-0.4
159,Talen Horton-Tucker,UTA,22,65,30,35,20.2,10.7,4,9.4,41.9,0.9,3.1,28.6,1.9,2.6,75,0.6,2.6,3.2,3.8,1.9,0.6,0.4,1.7,21.6,2,0,-0.1
160,Victor Oladipo,MIA,30,42,23,19,26.3,10.7,3.8,9.6,39.7,1.7,5,33,1.4,1.9,74.7,0.4,2.7,3,3.5,2.1,1.4,0.3,2.4,22.4,0,0,-0.8
161,Jeenathan Williams,POR,24,5,1,4,25.3,10.6,4.8,7.8,61.5,0.6,1.6,37.5,0.4,0.6,66.7,2,1,3,2,0.8,0.6,0.4,2.6,19.4,0,0,-7.6
162,Cam Thomas,BKN,21,57,30,27,16.6,10.6,3.5,8,44.1,0.9,2.3,38.3,2.6,3.1,86.8,0.1,1.5,1.7,1.4,1.1,0.4,0.1,1,15,0,0,-0.1
163,Moritz Wagner,ORL,25,57,27,30,19.5,10.5,3.5,6.9,50,0.9,2.9,31.3,2.7,3.2,84.1,1.2,3.3,4.5,1.5,1.2,0.6,0.2,2.4,19.6,3,0,-0.5
164,Grayson Allen,MIL,27,72,53,19,27.4,10.4,3.4,7.7,44,2,5.1,39.9,1.6,1.8,90.5,0.8,2.4,3.3,2.3,1,0.9,0.2,1.6,19.9,0,0,3.2
165,Killian Hayes,DET,21,76,16,60,28.3,10.3,4,10.7,37.7,1.1,3.8,28,1.2,1.5,82.1,0.4,2.5,2.9,6.2,2.3,1.4,0.4,2.9,26,6,0,-6.6
166,Tyus Jones,MEM,26,80,51,29,24.2,10.3,3.9,8.9,43.8,1.5,4.1,37.1,1,1.2,80.6,0.4,2.2,2.5,5.2,0.9,1,0.1,0.4,23.5,9,1,1.2
167,Cameron Payne,PHX,28,48,27,21,20.2,10.3,3.9,9.4,41.5,1.4,3.9,36.8,1,1.3,76.6,0.3,2,2.2,4.5,1.7,0.7,0.2,1.8,20.5,3,0,1.6
