,,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
OVERALL,2022-23,82.00,48.30,110.30,17.00,65.00,0.21,39.60,87.10,45.40,11.40,32.40,35.10,19.80,25.70,77.10,11.20,31.30,42.40,23.00,15.10,7.00,3.80,22.10,-8.20
LOCATION,Home,41.00,48.50,112.30,9.00,32.00,0.22,40.30,87.10,46.20,11.80,32.80,35.90,20.00,26.00,76.60,11.50,31.50,43.00,24.30,15.20,7.10,3.80,22.00,-6.20
LOCATION,Road,41.00,48.10,108.30,8.00,33.00,0.20,38.80,87.00,44.60,11.00,32.10,34.30,19.60,25.30,77.60,10.90,31.00,41.90,21.60,15.00,6.90,3.80,22.20,-10.20
WINS/LOSSES,Wins,17.00,49.20,123.20,17.00,0.00,1.00,44.20,90.60,48.80,13.50,33.60,40.00,21.30,27.30,78.00,12.60,34.60,47.20,26.30,14.20,7.80,4.40,22.30,10.10
WINS/LOSSES,Losses,65.00,48.10,106.90,0.00,65.00,0.00,38.30,86.20,44.50,10.80,32.10,33.80,19.40,25.30,76.80,10.80,30.40,41.20,22.10,15.30,6.80,3.60,22.10,-13.00
MONTH,October,8.00,48.00,111.80,2.00,6.00,0.25,39.00,89.90,43.40,11.50,33.80,34.10,22.30,28.80,77.40,12.80,31.80,44.50,22.40,13.50,5.90,3.30,23.00,-8.40
MONTH,November,15.00,48.00,107.70,3.00,12.00,0.20,38.50,86.00,44.80,10.30,31.50,32.80,20.30,26.00,78.20,10.60,30.40,41.00,20.90,14.90,7.20,4.40,22.70,-8.70
MONTH,December,16.00,48.90,115.40,5.00,11.00,0.31,40.40,88.10,45.90,13.20,34.70,38.00,21.40,27.90,76.70,11.40,33.10,44.50,23.60,14.90,6.90,3.10,22.10,-4.10
MONTH,January,13.00,48.00,115.40,3.00,10.00,0.23,41.20,87.50,47.10,12.10,32.50,37.10,21.00,27.20,77.30,10.10,30.20,40.20,23.70,15.50,8.80,3.70,21.60,-9.40
MONTH,February,10.00,49.00,107.00,2.00,8.00,0.20,39.20,87.20,45.00,10.40,32.30,32.20,18.20,24.10,75.50,10.50,32.50,43.00,23.50,15.60,6.80,4.50,23.10,-7.90
MONTH,March,15.00,48.00,106.70,1.00,14.00,0.07,39.70,86.90,45.70,10.70,30.80,34.60,16.50,22.00,75.20,12.50,29.90,42.40,23.90,15.20,6.60,3.90,21.00,-9.30
MONTH,April,5.00,48.00,103.60,1.00,4.00,0.20,36.80,82.00,44.90,11.00,30.60,35.90,19.00,23.20,81.90,9.80,31.80,41.60,22.80,16.40,5.40,3.00,21.80,-13.80
PRE/POST ALL-STAR,Pre All-Star,59.00,48.40,112.30,15.00,44.00,0.25,39.80,87.50,45.50,11.70,33.20,35.40,21.00,27.10,77.30,10.90,31.30,42.20,22.80,14.90,7.20,3.70,22.40,-7.60
PRE/POST ALL-STAR,Post All-Star,23.00,48.00,105.30,2.00,21.00,0.09,39.00,86.10,45.30,10.50,30.40,34.50,16.80,22.00,76.30,11.70,31.30,43.00,23.40,15.50,6.40,3.80,21.50,-9.80
DAYS REST,0 Days Rest,14.00,48.00,111.00,3.00,11.00,0.21,39.90,88.10,45.20,12.80,32.60,39.20,18.50,23.50,78.70,11.20,30.00,41.20,23.00,13.60,6.70,3.40,21.60,-5.20
DAYS REST,1 Days Rest,51.00,48.30,109.50,9.00,42.00,0.18,39.40,86.40,45.60,11.10,32.70,34.00,19.60,25.70,76.30,11.10,30.90,42.00,22.70,15.00,7.10,3.60,22.50,-9.10
DAYS REST,2 Days Rest,12.00,48.80,110.80,3.00,9.00,0.25,39.50,87.80,45.00,10.10,30.20,33.40,21.70,27.70,78.30,11.40,33.20,44.60,22.60,15.40,6.50,4.80,21.50,-8.90
DAYS REST,3 Days Rest,3.00,48.00,118.70,1.00,2.00,0.33,42.00,90.00,46.70,11.70,32.70,35.70,23.00,30.00,76.70,13.30,33.70,47.00,26.00,20.00,8.00,3.00,19.30,-10.70
DAYS REST,5 Days Rest,1.00,48.00,113.00,1.00,0.00,1.00,40.00,94.00,42.60,14.00,38.00,36.80,19.00,24.00,79.20,12.00,29.00,41.00,31.00,13.00,11.00,4.00,21.00,4.00
DAYS REST,6+ Days Rest,1.00,48.00,106.00,0.00,1.00,0.00,37.00,81.00,45.70,17.00,34.00,50.00,15.00,19.00,78.90,6.00,39.00,45.00,22.00,21.00,5.00,7.00,25.00,-2.00
