,TEAM,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,LAST10,STREAK
1,Milwaukee Bucks,58,24,0.707,--,35-17,5-Nov,32-9,26-15,2-Mar,4-Jun,L 2
2,Boston Celtics,57,25,0.695,1,34-18,5-Nov,32-9,25-16,7-Apr,2-Aug,W 3
3,Philadelphia 76ers,54,28,0.659,4,34-18,6-Oct,29-12,25-16,2-Apr,5-May,W 2
4,Cleveland Cavaliers,51,31,0.622,7,34-18,13-3,31-10,20-21,Jul-00,3-Jul,L 1
5,New York Knicks,47,35,0.573,11,32-20,8-Aug,23-18,24-17,6-Apr,5-May,L 2
6,Brooklyn Nets,45,37,0.549,13,30-22,9-Jul,23-18,22-19,1-Jan,4-Jun,L 1
7,Atlanta Hawks,41,41,0.5,17,26-26,8-Aug,24-17,17-24,2-Apr,5-May,L 2
8,Miami Heat,44,38,0.537,14,24-28,6-Oct,27-14,17-24,2-Mar,4-Jun,W 1
9,Toronto Raptors,41,41,0.5,17,26-26,12-Apr,27-14,14-27,3-Feb,4-Jun,W 1
10,Chicago Bulls,40,42,0.488,18,27-25,9-Jul,22-19,18-23,4-Mar,4-Jun,W 2
11,Indiana Pacers,35,47,0.427,23,24-28,9-Jul,20-21,15-26,2-Jan,7-Mar,W 1
12,Washington Wizards,35,47,0.427,23,21-31,8-Aug,19-22,16-25,2-Jan,7-Mar,L 1
13,Orlando Magic,34,48,0.415,24,20-32,9-Jul,20-21,14-27,2-Feb,5-May,L 4
14,Charlotte Hornets,27,55,0.329,31,15-37,9-Jul,13-28,14-27,4-Jan,5-May,W 1
15,Detroit Pistons,17,65,0.207,41,Aug-44,14-Feb,Sep-32,Aug-33,1-Mar,9-Jan,L 1
