,,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
OVERALL,2022-23,82.00,48.40,116.90,58.00,24.00,0.71,42.70,90.40,47.30,14.80,40.30,36.80,16.60,22.40,74.30,11.10,37.50,48.60,25.80,14.60,6.40,4.90,18.00,3.60
LOCATION,Home,41.00,48.10,118.80,32.00,9.00,0.78,43.40,90.60,47.90,14.90,39.80,37.50,17.10,22.80,74.90,11.90,37.60,49.50,25.40,14.40,6.40,5.00,18.00,6.30
LOCATION,Road,41.00,48.60,115.00,26.00,15.00,0.63,42.00,90.10,46.60,14.80,40.80,36.20,16.20,22.00,73.50,10.40,37.40,47.80,26.20,14.90,6.30,4.80,18.10,0.90
WINS/LOSSES,Wins,58.00,48.30,121.10,58.00,0.00,1.00,44.40,90.60,49.00,15.20,39.90,38.10,17.10,23.10,74.10,11.30,39.50,50.80,26.80,14.50,6.50,5.40,18.50,11.80
WINS/LOSSES,Losses,24.00,48.40,107.00,0.00,24.00,0.00,38.80,89.90,43.10,13.90,41.20,33.80,15.50,20.70,74.60,10.80,32.60,43.40,23.30,14.90,6.00,3.80,16.90,-16.00
MONTH,October,6.00,48.00,112.80,6.00,0.00,1.00,41.00,90.80,45.10,12.80,38.30,33.50,18.00,24.80,72.50,12.70,38.70,51.30,23.50,14.00,6.50,7.70,20.30,9.00
MONTH,November,14.00,48.70,112.10,9.00,5.00,0.64,40.90,89.40,45.80,13.10,36.90,35.50,17.10,23.90,71.60,11.50,36.10,47.60,24.90,15.10,7.10,5.80,18.90,3.10
MONTH,December,15.00,48.30,113.80,8.00,7.00,0.53,41.30,89.10,46.30,12.90,37.70,34.10,18.40,24.10,76.20,12.70,36.50,49.20,24.30,16.20,5.90,4.30,18.00,-0.80
MONTH,January,16.00,48.30,117.10,11.00,5.00,0.69,42.50,91.50,46.40,17.30,44.60,38.80,14.80,19.90,74.30,11.20,37.40,48.60,25.60,15.20,7.40,4.40,17.40,2.10
MONTH,February,10.00,48.50,118.30,10.00,0.00,1.00,44.00,91.90,47.90,15.00,42.20,35.50,15.30,21.50,71.20,10.10,41.90,52.00,24.50,12.90,5.50,3.80,18.90,11.40
MONTH,March,16.00,48.30,124.90,11.00,5.00,0.69,45.70,91.10,50.10,15.80,41.20,38.40,17.70,22.80,77.70,9.80,37.10,46.90,28.90,13.30,5.60,5.20,17.40,4.10
MONTH,April,5.00,48.00,116.20,3.00,2.00,0.60,43.00,87.60,49.10,16.80,39.80,42.20,13.40,18.60,72.00,10.00,35.40,45.40,29.00,15.20,6.20,4.00,15.40,-0.20
PRE/POST ALL-STAR,Pre All-Star,58.00,48.40,114.80,41.00,17.00,0.71,41.80,90.10,46.30,14.40,40.00,35.90,16.90,22.90,73.80,11.60,37.60,49.20,24.70,15.00,6.60,5.00,18.40,3.20
PRE/POST ALL-STAR,Post All-Star,24.00,48.20,122.00,17.00,7.00,0.71,45.00,91.00,49.50,16.00,41.10,38.80,16.00,21.20,75.40,10.00,37.30,47.30,28.40,13.70,5.80,4.80,17.30,4.60
DAYS REST,0 Days Rest,13.00,48.40,113.30,10.00,3.00,0.77,40.50,89.20,45.50,16.50,42.90,38.50,15.70,20.80,75.60,10.50,37.90,48.40,25.10,14.20,6.30,4.10,16.90,2.90
DAYS REST,1 Days Rest,54.00,48.30,118.30,37.00,17.00,0.69,43.40,90.90,47.80,14.90,40.00,37.30,16.50,22.30,73.90,11.30,37.40,48.70,26.00,14.90,6.60,4.90,18.20,3.10
DAYS REST,2 Days Rest,10.00,48.50,116.80,7.00,3.00,0.70,42.90,89.90,47.70,12.30,38.20,32.20,18.70,25.40,73.60,12.00,36.40,48.40,26.10,12.80,5.80,5.50,18.30,5.90
DAYS REST,3 Days Rest,3.00,49.70,114.30,2.00,1.00,0.67,40.30,88.00,45.80,14.00,39.00,35.90,19.70,25.00,78.70,10.30,37.00,47.30,24.70,18.00,5.70,7.00,20.70,1.70
DAYS REST,6+ Days Rest,2.00,48.00,109.00,2.00,0.00,1.00,40.50,91.00,44.50,16.00,44.00,36.40,12.00,16.50,72.70,8.50,44.00,52.50,25.50,13.00,5.00,3.50,17.00,15.50
