,,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
OVERALL,2022-23,82,48.2,111.4,34,48,0.42,40.5,86.3,47,10.8,31.1,34.6,19.6,25,78.4,10.2,33.1,43.2,23.2,15.1,7.4,4.7,20.1,-2.6
LOCATION,Home,41,48.5,114.3,20,21,0.49,41.5,85.8,48.3,11.1,30.4,36.6,20.2,25.7,78.6,9.9,33.2,43,24.7,15,7,4.7,20.3,-0.4
LOCATION,Road,41,48,108.5,14,27,0.34,39.6,86.7,45.6,10.4,31.8,32.7,19,24.3,78.1,10.5,33,43.4,21.8,15.1,7.7,4.6,20,-4.7
WINS/LOSSES,Wins,34,48.3,116.1,34,0,1,41.9,84.8,49.4,11.5,29.4,39,20.8,26.5,78.4,9.7,35.4,45.1,24.7,15.3,7.7,5,20.1,9.4
WINS/LOSSES,Losses,48,48.2,108.1,0,48,0,39.5,87.3,45.3,10.3,32.3,31.8,18.8,24,78.3,10.5,31.5,41.9,22.2,14.9,7.1,4.4,20.2,-11
MONTH,November,15,48.3,109.6,4,11,0.27,39.5,83.1,47.6,11.1,31.3,35.3,19.5,24.3,80,9.9,31.7,41.5,21.8,17.6,6.3,5.3,20.2,-6.7
MONTH,December,15,48.3,111.9,8,7,0.53,40.5,87.1,46.4,10.4,29.7,35,20.5,25.3,81.1,10.3,33.5,43.8,23.3,14.5,7.4,4.1,20.3,-1.4
MONTH,March,15,48.3,116.5,7,8,0.47,43.7,91.1,48,10.7,31.4,34,18.3,23.3,78.6,10.1,34.1,44.2,25.3,14,7.9,5,20.2,-0.8
MONTH,January,14,48,115.2,7,7,0.5,41.1,84.4,48.6,12.1,31.7,38.1,21,27,77.8,8.4,32.4,40.7,24.7,13.9,7.5,4.1,19,-0.9
MONTH,February,11,48.5,107.8,6,5,0.55,39.3,86.8,45.2,9.1,28.8,31.5,20.2,26.1,77.4,12.1,32.2,44.3,22.1,15,8.1,4.3,19.6,0.1
MONTH,October,7,48,105.6,1,6,0.14,38.6,84.9,45.5,9.7,31.9,30.5,18.7,24.7,75.7,10.1,35.4,45.6,19.9,14.3,5.9,5.6,23.4,-4.7
MONTH,April,5,48,105.8,1,4,0.2,38,84.8,44.8,12.8,36,35.6,17,23.4,72.6,11.4,34,45.4,24.4,17.2,8.8,4.4,19,-6.4
PRE/POST ALL-STAR,Pre All-Star,59,48.3,110.9,24,35,0.41,40.1,85.1,47.2,10.7,30.6,35,19.9,25.4,78.7,9.9,32.6,42.6,22.7,15.2,7.1,4.6,20.3,-2.8
PRE/POST ALL-STAR,Post All-Star,23,48.2,112.7,10,13,0.44,41.6,89.3,46.5,10.9,32.4,33.7,18.7,24.1,77.6,10.7,34.2,45,24.6,14.8,7.9,4.9,19.8,-2
DAYS REST,1 Days Rest,57,48.4,111.3,27,30,0.47,40.5,85.9,47.2,10.5,30.9,34,19.7,25.1,78.5,10.1,33.6,43.7,23,15.6,7.7,4.5,20.2,-1.4
DAYS REST,0 Days Rest,13,48,109.4,1,12,0.08,39.8,87.1,45.7,11.2,32.3,34.8,18.6,23.9,77.8,9.8,30.7,40.5,22.5,13.4,6.8,4.5,20.4,-9.6
DAYS REST,2 Days Rest,6,48,116.2,3,3,0.5,43,91.2,47.2,11.5,30.5,37.7,18.7,24,77.8,12.5,32.7,45.2,25.7,13.7,7,5.8,19.7,0.3
DAYS REST,4 Days Rest,3,48,119.3,2,1,0.67,41,80.7,50.8,13,31,41.9,24.3,29.7,82,9.3,37,46.3,25,16.7,4.3,5,21.3,6.7
DAYS REST,3 Days Rest,2,48,104.5,0,2,0,38,82,46.3,9.5,31.5,30.2,19,26,73.1,8.5,27.5,36,22.5,12.5,7.5,5.5,16,-13.5
DAYS REST,6+ Days Rest,1,48,108,1,0,1,39,95,41.1,12,31,38.7,18,23,78.3,12,34,46,27,14,7,6,19,2
