,TEAM,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,LAST10,STREAK
1,Denver Nuggets,53,29,0.646,--,34-18,6-Oct,34-7,19-22,Mar-00,5-May,W 1
2,Memphis Grizzlies,51,31,0.622,2,30-22,13-3,35-6,16-25,1-Mar,4-Jun,L 1
3,Sacramento Kings,48,34,0.585,5,32-20,7-Sep,23-18,25-16,1-Apr,5-May,L 3
4,Pheonix Suns,45,37,0.549,8,30-22,7-Sep,28-13,17-24,3-Jan,3-Jul,L 2
5,LA Clippers,44,38,0.537,9,27-25,7-Sep,23-18,21-20,3-Feb,4-Jun,W 3
6,Golden State Warriors,44,38,0.537,9,30-22,9-Jul,33-8,30-Nov,3-Feb,2-Aug,W 3
7,Los Angeles Lakers,43,39,0.524,10,27-25,10-Jun,23-18,20-21,4-Mar,2-Aug,W 2
8,Minnesota Timberwolves,42,40,0.512,11,29-23,8-Aug,22-19,20-21,4-Jan,3-Jul,W 3
9,New Orleans Pelicans,42,40,0.512,11,29-23,5-Nov,27-14,15-26,4-Mar,3-Jul,L 1
10,Oklahoma City Thunder,40,42,0.488,13,25-27,7-Sep,24-17,16-25,4-Feb,6-Apr,W 2
11,Dallas Mavericks,38,44,0.463,15,28-24,7-Sep,23-18,15-26,5-Apr,8-Feb,L 2
12,Utah Jazz,37,45,0.451,16,24-28,10-Jun,23-18,14-27,1-Apr,8-Feb,L 1
13,Portland Trail Blazers,33,49,0.402,20,23-29,9-Jul,17-24,16-25,Feb-00,9-Jan,L 4
14,Houston Rockets,22,60,0.268,31,Dec-40,12-Apr,14-27,Aug-33,1-Jan,6-Apr,W 3
15,San Antonio Spurs,22,60,0.268,31,Oct-42,13-Mar,14-27,Aug-33,5-Jan,7-Mar,W 1
