No.,Player,Pos,Height,Wt,Birth Date,Age,Country,Exp,College,Player-additional
1,Rafer Alston,PG,6.166666667,171,7/24/1976,32,us,9,Fresno State,alstora01
4,Tony Battie,PF,6.916666667,230,2/11/1976,32,us,10,Texas Tech,battito01
10,Keith Bogans,SG,6.416666667,215,5/12/1980,28,us,5,Kentucky,boganke01
34,Brian Cook,PF,6.75,234,12/4/1980,28,us,5,Illinois,cookbr01
31,Adonal Foyle,C,6.833333333,250,3/9/1975,33,vc,11,Colgate,foylead01
13,Marcin Gortat,PF,6.916666667,240,2/17/1984,24,pl,1,,gortama01
12,Dwight Howard,C,6.833333333,265,12/8/1985,23,us,4,,howardw01
8,Anthony Johnson,PG,6.25,190,10/2/1974,34,us,11,College of Charleston,johnsan02
11,Courtney Lee,SG,6.416666667,215,10/3/1985,23,us,0,Western Kentucky,leeco01
9,Rashard Lewis,PF,6.833333333,215,8/8/1979,29,us,10,,lewisra02
10,Tyronn Lue,PG,6,175,5/3/1977,31,us,10,Nebraska,luety01
14,Jameer Nelson,PG,6,190,2/9/1982,26,us,4,Saint Joseph's,nelsoja01
20,Mickael Pietrus,SG,6.5,215,2/7/1982,26,gp,5,,pietrmi01
7,J.J. Redick,SG,6.25,200,6/24/1984,24,us,2,Duke,redicjj01
32,Jeremy Richardson,SF,6.5,185,3/1/1984,24,us,2,Delta State University,richaje01
15,Hedo Turkoglu,SF,6.833333333,220,3/19/1979,29,tr,8,,turkohe01
