,PLAYER,TEAM,Position,AGE,Games Played,Wins,Loses,Minutes,Points,Field Goals Made,Field Goals Attmepted ,Field Goal %,3 Points Made,3 Points Attempted,3 Point %,Free Throw Made,Free throw Attempted,Free Throw %,Offensive Rebound,Defensive Rebound,Rebounds,Assists ,Turnover,Steals,Blocks,Personal Foul,Fantsy Points,Double Doubles,Triple Doubles,Plus-Minus
51,Bam Adebayo,MIA,Center,25,75,40,35,34.6,20.4,8,14.9,54,0,0.2,8.3,4.3,5.4,80.6,2.5,6.7,9.2,3.2,2.5,1.2,0.8,2.8,39.7,31,0,1.6
52,Tyrese Maxey,PHI,Guard,22,60,39,21,33.6,20.3,7.3,15.2,48.1,2.7,6.2,43.4,3,3.6,84.5,0.4,2.6,2.9,3.5,1.3,0.8,0.1,2.2,30.6,0,0,4
53,Kelly Oubre Jr.,CHA,Forward,27,48,16,32,32.2,20.3,7.4,17.1,43.1,2.3,7.1,31.9,3.3,4.3,76,1.4,3.8,5.2,1.1,1.3,1.4,0.4,2.9,32.2,3,0,-5.8
54,Mikal Bridges,BKN,Forward,26,83,42,41,35.7,20.1,7.1,15.3,46.8,2,5.3,38.2,3.8,4.3,89.5,1,3.4,4.4,3.3,1.5,1.1,0.7,1.9,34.3,2,0,0.4
55,Tyler Herro,MIA,Guard,23,67,37,30,34.9,20.1,7.3,16.6,43.9,3,8,37.8,2.5,2.7,93.4,0.4,5,5.4,4.2,2.4,0.8,0.2,1.5,33.5,6,1,2.5
56,Louis King,PHI,Guard,24,1,1,0,28.8,20,8,13,61.5,4,8,50,0,1,0,2,2,4,2,2,1,0,4,28.8,0,0,2
57,Jamal Murray,DEN,Guard,26,65,43,22,32.8,20,7.3,16,45.4,2.6,6.6,39.8,2.8,3.3,83.3,0.7,3.2,4,6.2,2.2,1,0.2,1.6,35.5,5,1,4.6
58,Paolo Banchero,ORL,Forward,20,72,31,41,33.7,20,6.7,15.6,42.7,1.2,4,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,2.8,0.8,0.5,2.2,35.2,14,0,-3
59,Cade Cunningham,DET,Guard,21,12,3,9,33.3,19.9,7.8,18.7,41.5,1.4,5.1,27.9,3,3.6,83.7,1,5.2,6.2,6,3.3,0.8,0.6,2.8,37.3,3,0,-5
60,RJ Barrett,NYK,Forward,22,73,40,33,33.9,19.6,7,16.1,43.4,1.7,5.3,31,4,5.4,74,0.8,4.2,5,2.8,2.2,0.4,0.2,2.5,29.4,3,0,-0.8
61,Fred VanVleet,TOR,Guard,29,69,34,35,36.7,19.3,6.3,16.1,39.3,3,8.8,34.2,3.7,4.1,89.8,0.4,3.6,4.1,7.2,2,1.8,0.6,2.8,39.9,10,1,2.8
62,Jrue Holiday,MIL,Guard,32,67,50,17,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,1.2,3.9,5.1,7.4,2.9,1.2,0.4,1.7,38.2,16,0,7.2
63,Kevin Porter Jr.,HOU,Guard,22,59,18,41,34.3,19.2,6.6,15,44.2,2.4,6.5,36.6,3.5,4.5,78.4,1.3,4,5.3,5.7,3.2,1.4,0.3,2.6,36,9,1,-5.8
64,Domantas Sabonis,SAC,Center,26,79,47,32,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,2.9,0.8,0.5,3.5,45.8,65,14,2.7
65,Jaren Jackson Jr.,MEM,Center,23,63,41,22,28.4,18.6,6.6,13,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5,6.8,1,1.7,1,3,3.6,38.6,7,0,5.8
66,Franz Wagner,ORL,Forward,21,80,33,47,32.6,18.6,6.8,14,48.5,1.6,4.5,36.1,3.4,4,84.2,0.9,3.2,4.1,3.5,2.1,1,0.2,2.3,30.2,2,0,0.6
67,Devin Vassell,SAS,Guard,22,38,12,26,31,18.5,6.9,15.7,43.9,2.7,7,38.7,2.1,2.6,78,0.2,3.7,3.9,3.6,1.5,1.1,0.4,1.5,31.8,0,0,-7.8
68,Deandre Ayton,PHX,Center,24,67,36,31,30.4,18,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3,76,2.6,7.4,10,1.7,1.8,0.6,0.8,2.8,34.7,36,0,-0.1
69,Myles Turner,IND,Center,27,62,29,33,29.4,18,6.5,11.8,54.8,1.5,4,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,1.7,0.6,2.3,3.5,36,18,0,-0.8
70,D'Angelo Russell,LAL,Guard,27,71,39,32,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3,82.9,0.5,2.5,3,6.2,2.6,1,0.4,2,32.2,9,0,1.2
71,Nikola Vucevic,CHI,Center,32,82,40,42,33.5,17.6,7.3,14,52,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11,3.2,1.7,0.7,0.7,2.2,38.3,51,1,-0.2
72,Michael Porter Jr.,DEN,Forward,24,62,41,21,29,17.4,6.4,13.2,48.7,3,7.3,41.4,1.5,1.9,80,1,4.5,5.5,1,1.1,0.6,0.5,1.9,27.7,3,0,6.7
73,Gary Trent Jr.,TOR,Guard,24,66,31,35,32.1,17.4,6.1,14.2,43.3,2.5,6.8,36.9,2.6,3.1,83.9,0.5,2.2,2.6,1.6,0.8,1.6,0.2,1.5,27.5,0,0,-0.8
74,Spencer Dinwiddie,BKN,Guard,30,79,41,38,34.5,17.3,5.8,13.3,43.8,2.3,6.2,36.9,3.4,4.2,81.2,0.4,3.1,3.4,6.5,1.8,0.8,0.3,2.4,32.8,9,0,-0.1
75,Andrew Wiggins,GSW,Forward,28,37,19,18,32.2,17.1,6.8,14.3,47.3,2.4,6.1,39.6,1.2,1.9,61.1,1.6,3.4,5,2.3,1.3,1.2,0.8,2.9,31.2,3,0,3.2
76,Norman Powell,LAC,Guard,29,60,31,29,26.1,17,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,1.7,0.8,0.3,2.1,24.9,0,0,-2.1
77,Buddy Hield,IND,Guard,30,80,35,45,31,16.8,5.9,13,45.8,3.6,8.5,42.5,1.3,1.6,82.2,0.8,4.2,5,2.8,1.7,1.2,0.3,2,29.7,3,0,-1.1
78,O.G. Anunoby,TOR,Forward,25,67,33,34,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5,2,2,1.9,0.7,3,31.7,2,0,2
79,Bennedict Mathurin,IND,Guard,20,78,33,45,28.5,16.7,5.3,12.2,43.4,1.3,4,32.3,4.8,5.8,82.8,1.1,3,4.1,1.5,1.9,0.6,0.2,2.1,24.2,0,0,-2.3
80,Christian Wood,DAL,Center,27,67,33,34,25.9,16.6,5.9,11.5,51.5,1.6,4.2,37.6,3.2,4.2,77.2,1.3,6,7.3,1.8,1.8,0.4,1.1,2.5,30.9,12,0,-0.7
81,Josh Giddey,OKC,Forward,20,76,34,42,31.1,16.6,7.1,14.7,48.2,1,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,2.8,0.8,0.4,1.9,36,28,4,-1.4
82,Aaron Gordon,DEN,Forward,27,68,45,23,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,2.4,4.1,6.6,3,1.4,0.8,0.8,1.9,31.8,11,0,7.6
83,Jaden Ivey,DET,Forward,21,74,16,58,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1,2.9,3.9,5.2,3.2,0.8,0.2,3.3,28.7,8,0,-8.7
84,Evan Mobley,CLE,Forward,21,79,48,31,34.4,16.2,6.6,12,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9,2.8,1.8,0.8,1.5,2.8,36.2,24,0,4.3
85,RaiQuan Gray,BKN,Forward,23,1,0,1,35.1,16,6,12,50,2,5,40,2,2,100,3,6,9,7,4,0,1,5,36.3,0,0,-14
86,Brook Lopez,MIL,Center,35,78,57,21,30.4,15.9,6.1,11.5,53.1,1.7,4.7,37.4,1.9,2.4,78.4,2,4.7,6.7,1.3,1.4,0.5,2.5,2.6,33.3,11,0,5.1
87,Russell Westbrook,LAC,Guard,34,73,36,37,29.1,15.9,5.9,13.6,43.6,1.2,3.9,31.1,2.8,4.3,65.6,1.2,4.6,5.8,7.5,3.5,1,0.5,2.2,35.1,24,4,-0.3
88,P.J. Washington,CHA,Forward,24,73,24,49,32.6,15.7,5.9,13.4,44.4,2,5.9,34.8,1.7,2.4,73,1,3.9,4.9,2.4,1.5,0.9,1.1,2.6,29.6,3,0,-5.1
