No.,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Player-additional
42,Mark Acres,C,11-Jun,220,November 15 1962,us,2,Oral Roberts,acresma01
25,Nick Anderson,SG,6-Jun,205,January 20 1968,us,0,Illinois,anderni01
45,Michael Ansley,SF,7-Jun,225,February 8 1967,us,0,Alabama,anslemi01
33,Terry Catledge,PF,8-Jun,220,August 22 1963,us,4,University of South Alabama,catlete01
40,Dave Corzine,C,11-Jun,250,April 25 1956,us,11,DePaul,corzida01
21,Sidney Green,C,9-Jun,220,January 4 1961,us,6,UNLV,greensi02
50,Jawann Oldham,C,Jul-00,215,July 4 1957,us,8,Seattle University,oldhaja01
35,Jerry Reynolds,SF,8-Jun,200,December 23 1962,us,4,LSU,reynoje01
4,Scott Skiles,PG,1-Jun,180,March 5 1964,us,3,Michigan State,skilesc01
32,Otis Smith,SF,5-Jun,210,January 30 1964,us,3,Jacksonville University,smithot01
24,Reggie Theus,SG,7-Jun,190,October 13 1957,us,11,UNLV,theusre01
31,Jeff Turner,PF,9-Jun,230,April 9 1962,us,3,Vanderbilt,turneje01
11,Sam Vincent,PG,2-Jun,185,May 18 1963,us,4,Michigan State,vincesa01
20,Morlon Wiley,PG,4-Jun,185,September 24 1966,us,1,Cal State Long Beach,wileymo01
