No.,Player,Pos,Height,Wt,Birth Date,Age,Country,Exp,College,Player-additional
25,Nick Anderson,SG,6.5,205,1/20/1968,25,us,5,Illinois,anderni01
10,Darrell Armstrong,PG,6,170,6/22/1968,25,us,0,Fayetteville State University,armstda01
0,Anthony Avent,PF,6.75,235,10/18/1969,24,us,2,Seton Hall,aventan01
14,Anthony Bowie,SG,6.5,190,11/9/1963,30,us,5,Oklahoma,bowiean01
54,Horace Grant,PF,6.833333333,215,7/4/1965,28,us,7,Clemson,grantho01
43,Geert Hammink,C,7,262,7/12/1969,24,nl,1,LSU,hammige01
1,Anfernee Hardaway,PG,6.583333333,195,7/18/1971,22,us,1,Memphis,hardaan01
32,Shaquille O'Neal,C,7.083333333,325,3/6/1972,21,us,2,LSU,onealsh01
30,Tree Rollins,C,7.083333333,235,6/16/1955,38,us,17,Clemson,rollitr01
5,Donald Royal,SF,6.666666667,210,5/22/1966,27,us,4,Notre Dame,royaldo01
3,Dennis Scott,SF,6.666666667,229,9/5/1968,25,us,4,Georgia Tech,scottde01
20,Brian Shaw,PG,6.5,190,3/22/1966,27,us,5,Saint Mary's UC Santa Barbara,shawbr01
22,Brooks Thompson,PG,6.333333333,193,7/19/1970,23,us,0,Texas A&M Oklahoma State,thompbr01
55,Keith Tower,C,6.916666667,250,5/15/1970,23,us,1,Notre Dame,towerke01
31,Jeff Turner,PF,6.75,230,4/9/1962,31,us,8,Vanderbilt,turneje01
