,PLAYER,TEAM,Position,AGE,Games Played,Wins,Loses,Minutes,Points,Field Goals Made,Field Goals Attmepted ,Field Goal %,3 Points Made,3 Points Attempted,3 Point %,Free Throw Made,Free throw Attempted,Free Throw %,Offensive Rebound,Defensive Rebound,Rebounds,Assists ,Turnover,Steals,Blocks,Personal Foul,Fantsy Points,Double Doubles,Triple Doubles,Plus-Minus
58,Paolo Banchero,ORL,Forwards,20,72,31,41,33.7,20,6.7,15.6,42.7,1.2,4,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,2.8,0.8,0.5,2.2,35.2,14,0,-3
66,Franz Wagner,ORL,Forwards,21,80,33,47,32.6,18.6,6.8,14,48.5,1.6,4.5,36.1,3.4,4,84.2,0.9,3.2,4.1,3.5,2.1,1,0.2,2.3,30.2,2,0,0.6
93,Wendell Carter Jr.,ORL,Center,24,57,26,31,29.6,15.2,5.6,10.8,52.5,1.4,3.9,35.6,2.5,3.4,73.8,2.1,6.6,8.7,2.3,1.9,0.5,0.6,2.8,30.6,21,0,-0.7
111,Markelle Fultz,ORL,Guard,24,60,29,31,29.6,14,5.8,11.3,51.4,0.5,1.5,31,1.9,2.4,78.3,1.2,2.8,3.9,5.7,2.3,1.5,0.4,2.2,30.5,3,0,-2.2
120,Cole Anthony,ORL,Guard,22,60,28,32,25.9,13,4.6,10.2,45.4,1.3,3.4,36.4,2.5,2.8,89.4,0.8,4,4.8,3.9,1.5,0.6,0.5,2.6,26.5,1,0,-0.4
163,Moritz Wagner,ORL,Center,25,57,27,30,19.5,10.5,3.5,6.9,50,0.9,2.9,31.3,2.7,3.2,84.1,1.2,3.3,4.5,1.5,1.2,0.6,0.2,2.4,19.6,3,0,-0.5
180,Jalen Suggs,ORL,Guard,21,53,20,33,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1,2,3,2.9,1.8,1.3,0.5,2.3,21.5,0,0,-0.8
212,Bol Bol,ORL,Center,23,70,26,44,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1,4.8,5.8,1,1.6,0.4,1.2,1.3,20.8,6,0,-2.1
233,Gary Harris,ORL,Guard,28,48,22,26,24.7,8.3,2.9,6.4,45,2,4.5,43.1,0.6,0.6,90,0.4,1.6,2,1.2,0.6,0.9,0.3,1.9,15.5,0,0,-1.8
301,Jay Scrubb,ORL,Guard,22,2,1,1,15.1,6.5,2.5,3.5,71.4,1,1,100,0.5,1,50,0,3,3,0.5,1.5,1,0,1,12.4,0,0,-8
360,Jonathan Isaac,ORL,Forwards,25,11,8,3,11.3,5,2,4.8,41.5,0.5,1.4,40,0.5,0.8,55.6,1.4,2.6,4,0.5,0.4,1.3,0.4,0.5,15.2,0,0,-1.7
377,Chuma Okeke,ORL,Forwards,24,27,8,19,19.2,4.7,1.6,4.5,35.2,1,3.2,30.2,0.6,0.8,76.2,1,2.6,3.6,1.4,0.6,0.7,0.4,1.5,13.8,0,0,-4.4
394,Goga Bitadze,ORL,Center,23,38,13,25,12,4.4,1.8,3.3,55.2,0.2,0.7,23.1,0.6,1.1,54.8,1.6,2,3.6,1,0.6,0.4,0.7,1.7,13,2,0,0.7
398,Michael Carter-Williams,ORL,Guard,31,4,1,3,11.1,4.3,1.5,3.5,42.9,0.3,0.8,33.3,1,1.8,57.1,0.3,1,1.3,1.8,1,0.3,0.3,1.3,8.9,0,0,-6.5
402,Admiral Schofield,ORL,Forwards,26,37,14,23,12.2,4.2,1.5,3.3,45.1,0.6,2,32.4,0.6,0.6,91.3,0.6,1.1,1.7,0.8,0.4,0.2,0.1,1.6,8.1,0,0,-2.1
405,Kevon Harris,ORL,Guard,25,34,12,22,13.4,4.1,1.4,3.1,43.9,0.5,1.3,37.2,0.9,1.2,75.6,0.8,1.2,2.1,0.5,0.6,0.5,0.1,1.6,8.6,0,0,0
422,Caleb Houstan,ORL,Guard,20,51,20,31,15.9,3.8,1.3,3.6,36.3,0.9,2.7,33.8,0.3,0.4,83.3,0.7,1.3,1.9,0.6,0.4,0.2,0.1,1.2,7.8,0,0,-1.6
